Tag,01/05/2026,01/06/2026,01/07/2026,01/08/2026,01/09/2026,01/10/2026,01/11/2026,01/12/2026,01/13/2026,01/14/2026,01/15/2026,01/16/2026,01/17/2026,01/18/2026,01/19/2026,01/20/2026
analysis_ccr_h2,83.98,84.03,83.92,84.05,84.11,84.1,84,83.97,83.93,84.14,83.95,83.85,83.86,81.33,84.55,84.13
analysis_ccr_n2,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,0.99,1
analysis_ccr_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_ccr_co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_ccr_c1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.21,4.21,4.21,4.49,4.62,4.2,4.25,4.18,4.2
analysis_ccr_c2,4.3,4.3,4.3,4.3,4.31,4.3,4.3,4.31,4.3,4.31,4.3,4.3,4.3,4.23,4.32,4.29
analysis_ccr_c3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.41,3.39,3.39,3.4,3.4,3.4,3.31,3.4,3.4
analysis_ccr_c4,2,2,2,2,2,2,2,2,2,2,2,2,2,1.97,1.99,2
analysis_ccr_c5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.79,0.8,0.8
analysis_ccr_c6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
analysis_co2_export_Moisture,1,1,1,1,1,1,1,1,1,1,1,1,1,1.02,0.99,1
analysis_co2_export_co2_conc,96.02,95.88,95.89,96.02,95.83,96.11,95.96,96.05,96.01,95.92,96.03,95.93,95.82,97.08,95.56,95.91
analysis_co2_export_h2,3.06,3.06,3.06,3.06,3.07,3.05,3.06,3.06,3.06,3.06,3.06,3.06,3.05,2.94,3.03,3.06
analysis_co2_export_n2,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7
analysis_co2_export_ch4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1
analysis_fresh_h2,98.1,97.95,97.97,98.03,98.07,98.03,98.11,97.89,98.05,98.1,96.29,96.77,97.99,95.83,96.56,97.84
analysis_fresh_n2,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,1
analysis_fresh_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_fresh_co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_fresh_c1,1,1,1,1,1,1,1,1,1,1,1.14,1.15,1,0.99,1,1
analysis_fresh_c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_hpsa_h2,99.95,99.84,99.97,99.84,99.93,99.92,99.92,99.79,99.72,99.9,98.98,98.85,99.85,96.83,100.15,99.92
analysis_hpsa_n2,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.86,0.87
analysis_hpsa_co,3,3,3,3,3,3,3,3,3,2.99,4.8,4.8,3,3.04,3,3.01
analysis_hpsa_co2,3,3,3,3,3,3,3,3,3,3.01,3,3,2.99,3,2.97,3
analysis_hpsa_ch4,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.06,3.07,3.07,3.3,3.33,3.06,2.98,3.06,3.07
analysis_hts_outlet_h2,78.3,78.45,78.4,78.47,78.35,78.49,78.31,78.37,78.3,78.49,78.37,78.42,78.51,74.62,78.04,78.42
analysis_hts_outlet_n2,3.9,3.9,3.9,3.9,3.9,3.9,3.89,3.9,3.9,3.9,3.9,3.9,3.9,3.86,3.87,3.89
analysis_hts_outlet_co,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.61,0.61,0.5,0.49,0.5,0.5
analysis_hts_outlet_co2,15.71,15.71,15.71,15.69,15.68,15.68,15.68,15.72,15.69,15.68,15.73,15.69,15.71,15.99,15.73,15.71
analysis_hts_outlet_ch4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.7,1.69,1.5,1.51,1.5,1.5
analysis_leanSulfinol_rfb,41.36,41.27,41.31,41.28,41.23,41.34,41.28,41.25,41.25,41.34,41.29,41.35,41.23,41.79,41.06,41.36
analysis_leanSulfinol_tss,73.38,73.28,73.28,73.28,73.28,73.41,73.19,73.44,73.35,73.33,73.38,73.21,73.28,72.78,73.14,73.25
analysis_leanSulfinol_water,47.93,47.96,47.99,47.96,47.98,48.02,47.91,48.09,47.97,47.99,48.07,48.07,48,48.93,47.93,48.09
analysis_leanSulfinol_oxazolidone,6.69,6.7,6.7,6.7,6.69,6.71,6.69,6.7,6.69,6.7,6.69,6.71,6.69,6.79,6.73,6.71
analysis_leanSulfinol_atb,41.47,41.5,41.51,41.47,41.48,41.49,41.45,41.48,41.58,41.48,41.52,41.45,41.43,40.95,41.25,41.44
analysis_leanSulfinol_atb_rfb,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
analysis_lts_outlet_h2,78.48,78.47,78.47,78.39,78.53,78.42,78.35,78.38,78.49,78.54,78.5,78.51,78.37,76.06,77.92,78.44
analysis_lts_outlet_n2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.11,2.1
